Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
Abdera,https://pleiades.stoa.org/places/265762,http://dare.ht.lu.se/places/16830,https://vici.org/vici/3708/,https://topostext.org/place/368000UAbd,36.748.068,-3.022.514,
Abra ,https://pleiades.stoa.org/places/265764,http://dare.ht.lu.se/places/31330,http://vici.org/vici/16080,,37.765.419,-3.959.262,
Acci,https://pleiades.stoa.org/places/265765,http://dare.ht.lu.se/places/22608,http://vici.org/vici/3737,https://topostext.org/place/373000UAcc,37.300.309,-3.134.636,
Acinipo ,https://pleiades.stoa.org/places/255950,http://dare.ht.lu.se/places/22238,https://vici.org/vici/10788/,https://topostext.org/place/368000UAci,368.319.874.333,-523.940.533.333,
Ad Aras,https://pleiades.stoa.org/places/265767,http://dare.ht.lu.se/places/39846,https://vici.org/vici/16252/,,3.766.335,-4.945,
Ad Decumo 1,no info ,,,,,,No info Pleaides
Ad Decumo 2,no info ,,,,,,No info Pleiades
Ad Gemellas ,https://pleiades.stoa.org/places/265771,http://dare.ht.lu.se/places/36406,https://vici.org/vici/3693/,,37.267.334,-4.540.411,
Ad Herculem ,https://pleiades.stoa.org/places/255953,http://dare.ht.lu.se/places/22604,http://vici.org/vici/3755,,36.351.621,-6.163.431,
Ad Lucos ,https://pleiades.stoa.org/places/265773,http://dare.ht.lu.se/places/36408,http://vici.org/vici/16197,,3.802.053,-4.403.644,
Ad Noulas ,no info ,,,,,,No info Pleiades
Ad Pontem,http://pleiades.stoa.org/places/255954,http://dare.ht.lu.se/places/22603,http://vici.org/vici/16002,,36.5,-6.5,
Ad Rubras ,https://pleiades.stoa.org/places/255956,http://dare.ht.lu.se/places/36498.html,https://vici.org/vici/3775/,,37.271.136,-7.021.606,
Adamuz/ Sacili,no info ,http://dare.ht.lu.se/places/25139.html,https://vici.org/vici/39118/,,3.802.674,-452.231,No info Pleiades
Agatucci ,https://pleiades.stoa.org/places/265784,http://dare.ht.lu.se/places/31331.html,https://vici.org/vici/3738/,https://topostext.org/place/376000UAga,37.591.727,-31.811,
Aipora,http://pleiades.stoa.org/places/265893,http://dare.ht.lu.se/places/25130,http://vici.org/vici/3743,,38.026.033,-4.381.896,
Aiungi,https://pleiades.stoa.org/places/265785,http://dare.ht.lu.se/places/22263.html,https://vici.org/vici/15987/,,37.591.065,-4.086.744,
Alba,https://pleiades.stoa.org/places/265763,http://dare.ht.lu.se/places/31329,http://vici.org/vici/3748,https://topostext.org/place/371000UAbo,37.141.162,-278.011,
Albus Portus,https://pleiades.stoa.org/places/255964,http://dare.ht.lu.se/places/22606,https://vici.org/vici/16003/,,36.5,-5.5,
Anticaria ,https://pleiades.stoa.org/places/265799,http://dare.ht.lu.se/places/23496.html,https://vici.org/vici/3689/,,3.701.714.385,-45.594,
Aratispi,https://pleiades.stoa.org/places/265801,http://dare.ht.lu.se/places/31335.html,https://vici.org/vici/3690/,https://topostext.org/place/369000UAra,369.254.804,-445.356.465,
Arsa ,https://pleiades.stoa.org/places/256159,http://dare.ht.lu.se/places/31258,http://vici.org/vici/16060,,36.512.531,-5.913.705,
Artigi,https://pleiades.stoa.org/places/255990,http://dare.ht.lu.se/places/25250.html,https://vici.org/vici/3635/,https://topostext.org/place/387-55UArt,38.722.599,-5.545.601,
Arucci ,https://pleiades.stoa.org/places/255991,http://dare.ht.lu.se/places/22431.html,https://vici.org/vici/3659/,,37.963.738/00,-713.148,
Arunda,https://pleiades.stoa.org/places/255992,http://dare.ht.lu.se/places/22439.html,https://vici.org/vici/10790/,,3.674.194,-5.166.408,
Arva ,https://pleiades.stoa.org/places/255993,http://dare.ht.lu.se/places/22265.html,https://vici.org/vici/15299/,https://topostext.org/place/367000UAru,37.614.173,-5.671.303,
Asido,https://pleiades.stoa.org/places/255994,http://dare.ht.lu.se/places/22427,http://vici.org/vici/3678,,36.467.791,-5.927.867,
Asta Regia,https://pleiades.stoa.org/places/256193,http://dare.ht.lu.se/places/25198.html,https://vici.org/vici/3667/,https://topostext.org/place/368-62UHas,36.788.002,-6.172.572,
Astigi,https://pleiades.stoa.org/places/255996,http://dare.ht.lu.se/places/16845.html,https://vici.org/vici/3673/,https://topostext.org/place/375000UAst,37.540.932,-5.079.949,
Ategua,https://pleiades.stoa.org/places/265808,http://dare.ht.lu.se/places/31338.html,https://vici.org/vici/15772/,https://topostext.org/place/378000UAte,377.529.048,-45.729.074,
Aurgi,https://pleiades.stoa.org/places/265810,http://dare.ht.lu.se/places/25218.html,https://vici.org/vici/10813/,,37.791.929,-3.808.119,
Axati,https://pleiades.stoa.org/places/256002,http://dare.ht.lu.se/places/22267.html,https://vici.org/vici/15990/,,37.659.304,-5.526.244,
Baedro,https://pleiades.stoa.org/places/256004,http://dare.ht.lu.se/places/33438.html,https://vici.org/vici/16096/,,38.501.008,-514.839,
Baesuri,https://pleiades.stoa.org/places/256008,http://dare.ht.lu.se/places/22483,http://vici.org/vici/3653,https://topostext.org/place/372000UBae,3.721.845,-7.441.717,
Baicipo (Baesippo),https://pleiades.stoa.org/places/256007,http://dare.ht.lu.se/places/33439,http://vici.org/vici/3677,https://topostext.org/place/362-59UBae,36.192.554,-591.903,
Bailo (Baelo Claudia) ,https://pleiades.stoa.org/places/256005,http://dare.ht.lu.se/places/22237,http://vici.org/vici/3698,https://topostext.org/place/361000UBae,3.609.007,-57.744.275,
Balleia ,no info ,,,,,,We only have the coins
